Gene,Protein,Intensity
AAK1,A0A096LP25,33992920.42
AAK1,A0A096LP25,33992920.42
AAK1,A0A096LP25,33992920.42
AAK1,A0A096LP25,33992920.42
AAK1,Q2M2I8,28335125.75
AAK1,Q2M2I8,28335125.75
AAK1,Q2M2I8,28335125.75
AAK1,Q2M2I8,28335125.75
AAMP,Q13685,3697544.917
AARS1,P49588,220415061.3
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARS2,Q5JTZ9,3697544.917
AARSD1,Q9BTE6,3697544.917
ABAT,P80404,424802720
ABCD3,P28288,62474979
ABHD2,P08910,3697544.917
ABHD2,P08910,3697544.917
ABI1,Q8IZP0,83665042.67
ABI1,Q8IZP0,83665042.67
ABLIM1,O14639,66974396
ABLIM1,O14639,66974396
ABLIM1,O14639,66974396
ABR,Q12979,35191436.42
ABR,Q12979,35191436.42
ABR,Q12979,35191436.42
ABRAXAS2,Q15018,220061728
ACADVL,P49748,19598287533
ACAT1,A0A5F9ZHJ0,3697544.917
ACAT1,P24752,29466134533
ACE,P12821,3697544.917
ACE,P12821,3697544.917
ACE,P12821,3697544.917
ACLY,P53396,3697544.917
ACO1,P21399,2533631830
ACOT11,Q8WXI4,23552296.42
ACOT11,Q8WXI4,23552296.42
ACOT13,Q9NPJ3,3438751830
ACOT7,O00154,3697544.917
ACOT7,O00154,3697544.917
ACOT7,O00154,3697544.917
ACOT7,O00154,3697544.917
ACOT7,O00154,3697544.917
ACOT7,O00154,3697544.917
ACOX3,O15254,3697544.917
ACOX3,O15254,3697544.917
ACOX3,O15254,3697544.917
ACOX3,O15254,3697544.917
ACOX3,O15254,3697544.917
ACOX3,O15254,3697544.917
ACOX3,O15254,3697544.917
ACP6,Q9NPH0,3697544.917
ACP6,Q9NPH0,3697544.917
ACP6,Q9NPH0,3697544.917
ACP6,Q9NPH0,3697544.917
ACSF3,Q4G176,187066640
ACSF3,Q4G176,187066640
ACSF3,Q4G176,187066640
ACSF3,Q4G176,187066640
ACSL3,O95573,332633360
ACSL3,O95573,332633360
ACSS1,Q9NUB1,1480632233
ACSS1,Q9NUB1,1480632233
ACSS3,Q9H6R3,98356589.33
ACSS3,Q9H6R3,98356589.33
ACTA1,P68133,3067891283
ACTA1,P68133,3067891283
ACTA1,P68133,3067891283
ACTA2,P62736,1.53693E+11
ACTA2,P62736,1.53693E+11
ACTA2,P62736,1.53693E+11
ACTA2,P62736,1.53693E+11
ACTB,A0A6Q8PFE4,15093210833
ACTB,A0A6Q8PFE4,15093210833
ACTB,A0A6Q8PFE4,15093210833
ACTB,A0A6Q8PFE4,15093210833
ACTB,A0A6Q8PFE4,15093210833
ACTB,A0A6Q8PFE4,15093210833
ACTB,A0A6Q8PFE4,15093210833
ACTB,A0A6Q8PFE4,15093210833
ACTB,P60709,6648633333
ACTB,P60709,6648633333
ACTB,P60709,6648633333
ACTB,P60709,6648633333
ACTB,P60709,6648633333
ACTB,P60709,6648633333
ACTB,P60709,6648633333
ACTB,P60709,6648633333
ACTBL2,Q562R1,3697544.917
ACTBL2,Q562R1,3697544.917
ACTBL2,Q562R1,3697544.917
ACTBL2,Q562R1,3697544.917
ACTG1,P63261,210748686.7
ACTG1,P63261,210748686.7
ACTG1,P63261,210748686.7
ACTG1,P63261,210748686.7
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN1,P12814,128633884
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN2,P35609,1452915370
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTN4,O43707,628048662.7
ACTR10,Q9NZ32,3697544.917
ACTR1B,P42025,194417729.3
ACTR1B,P42025,194417729.3
ACTR3,P61158,931627820
ACTR3,P61158,931627820
ACYP1,P07311,3697544.917
ACYP2,P14621,855173313.3
ACYP2,P14621,855173313.3
ADAM10,O14672,3697544.917
ADAM10,O14672,3697544.917
